sequence,svo_status,svo_tracking_ratio,svo_trajectory_ratio,svo_se3_rmse_m,svo_sim3_rmse_m,svo_sim3_scale,svo_path_ratio_est_over_gt,da3_run_name,da3_match_count,da3_trajectory_ratio,da3_se3_rmse_m,da3_sim3_rmse_m,da3_sim3_scale,da3_path_ratio_est_over_gt,winner_by_sim3
chess_seq-03,ok,0.985,0.948,0.2700144789645837,0.14798939793271543,,,20260615T130757Z_fps2_da3_streaming,67,0.067,1.2700291969452466,0.04002303690042787,1.6649712720170122,0.5996669860208884,DA3
chess_seq-05,ok,0.988,0.958,0.23854938826558922,0.09527630129658357,,,20260615T130757Z_fps2_da3_streaming,67,0.067,1.4320981813094185,0.03476300058923016,1.1239842736429388,0.8974006929673822,DA3
fire_seq-03,ok,0.973,0.881,0.2039654611234782,0.07352276196707669,,,20260615T130757Z_fps2_da3_streaming,67,0.067,1.0797035988427155,0.02885000478519902,1.500057091130936,0.6683134355391408,DA3
fire_seq-04,ok,0.988,0.951,0.15497195709974432,0.14920492205319547,,,20260615T130757Z_fps2_da3_streaming,67,0.067,0.9107147011428491,0.02370607191969352,1.251704824954364,0.8001127105492716,DA3
heads_seq-01,ok,0.978,0.937,0.24864873839388624,0.09034169758440945,,,20260615T130757Z_fps2_da3_streaming,67,0.067,0.6735514531894388,0.017747529940193407,0.8617311469305728,1.1605342386879787,DA3
office_seq-02,ok,0.988,0.956,0.49925362602099654,0.28175568735061096,,,20260615T130757Z_fps5_da3_streaming,167,0.167,1.7722725285560021,0.09426892918900638,1.4703739949381276,0.6602863973444778,DA3
office_seq-06,ok,0.986,0.928,0.3326733454387648,0.30292064503298766,,,20260615T130757Z_fps2_da3_streaming,67,0.067,2.5259788811698582,0.08007220922982451,1.4121918554521153,0.7164337140283576,DA3
office_seq-07,ok,0.983,0.93,0.6291962874372359,0.26196473829068057,,,20260615T130757Z_fps5_da3_streaming,167,0.167,1.544315982713611,0.1372669792586327,1.960843659470711,0.5310258445545767,DA3
office_seq-09,ok,0.989,0.937,0.5452448923032784,0.48846226226650213,,,20260615T130757Z_fps2_da3_streaming,67,0.067,1.3167103955599238,0.0782358914229499,1.565779606029758,0.6147250308129245,DA3
pumpkin_seq-01,ok,0.976,0.857,0.4321234778794411,0.17198627751642864,,,20260615T130757Z_fps2_da3_streaming,67,0.067,1.391577715752044,0.14698821448752,2.2209715975097573,0.3827262662272907,DA3
pumpkin_seq-07,ok,0.979,0.95,0.6490190285489091,0.4912454106293507,,,20260615T130757Z_fps2_da3_streaming,67,0.067,1.16599011232922,0.06653064116376017,2.169351071570588,0.4387336394266461,DA3
redkitchen_seq-03,ok,0.973,0.769,0.1856360344898476,0.03439412065285622,,,20260615T130757Z_fps3_da3_streaming,100,0.1,2.079291527998278,0.042828557843746826,1.8717514653155924,0.4859422503134305,SVO
redkitchen_seq-04,ok,0.96,0.933,0.3641254591979425,0.13275177137137267,,,20260615T130757Z_fps2_da3_streaming,67,0.067,2.264295902698057,0.0483521920270394,1.6744692098509582,0.5948810586840054,DA3
redkitchen_seq-06,ok,0.988,0.954,0.6104085343264215,0.41324311488777254,,,20260615T130757Z_fps3_da3_streaming,100,0.1,0.8796953757435602,0.08440250578519885,2.273546147930697,0.4403304012742464,DA3
redkitchen_seq-12,ok,0.991,0.941,0.7596487887262744,0.5886858129536365,,,20260615T130757Z_fps2_da3_streaming,67,0.067,2.0646811477306666,0.08099668851261072,1.5582354826087104,0.628597234039836,DA3
redkitchen_seq-14,ok,0.979,0.879,0.3739428427939303,0.17874760005186666,,,20260615T130757Z_fps2_da3_streaming,67,0.067,0.9657209993467061,0.05416531204072001,2.362639996085687,0.43150639037401184,DA3
stairs_seq-01,ok,0.946,0.898,0.786186977716094,0.42744410517938386,,,20260615T130757Z_fps3_da3_streaming,50,0.1,1.1535545029780891,0.056860108731926935,1.9905667113596452,0.4913891950286112,DA3
stairs_seq-04,ok,0.97,0.78,0.12498043268181316,0.02993630464027778,,,20260615T130757Z_fps2_da3_streaming,34,0.068,1.1791398330026341,0.0313918806959424,2.0227639219861464,0.514038372901975,SVO
