run_name,run_dir,frame_base,fps,fps_value,chunk_size,overlap,chunk_overlap_label,loop_enable,gpu_samples,duration_s,gpu_mean_util_percent,gpu_peak_util_percent,gpu_mean_mem_used_mb,gpu_peak_mem_used_mb,gpu_mean_mem_total_mb,gpu_mean_mem_used_percent,gpu_peak_mem_used_percent,gpu_mean_power_w,gpu_peak_power_w,gpu_mean_temp_c,gpu_peak_temp_c
freiburg1_desk__fps2__chunk10__overlap5__loop,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/hall_da3_large_matrix/runs/freiburg1_desk__fps2__chunk10__overlap5__loop,freiburg1_desk,2,2.0,10,5,10/5,True,19,18.001,29.473684210526315,100.0,3399.1052631578946,8901.0,12282.0,27.675502875410313,72.47191011235955,61.52315789473685,150.45,43.89473684210526,59.0
freiburg1_desk__fps2__chunk20__overlap10__loop,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/hall_da3_large_matrix/runs/freiburg1_desk__fps2__chunk20__overlap10__loop,freiburg1_desk,2,2.0,20,10,20/10,True,18,17.001,20.38888888888889,88.0,2799.4444444444443,9687.0,12282.0,22.793066637717345,78.87151929653152,59.97888888888888,183.39,45.111111111111114,61.0
freiburg1_desk__fps2__chunk30__overlap15__loop,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/hall_da3_large_matrix/runs/freiburg1_desk__fps2__chunk30__overlap15__loop,freiburg1_desk,2,2.0,30,15,30/15,True,18,17.0,23.333333333333332,100.0,2853.0555555555557,10395.0,12282.0,23.229568112323363,84.63605276013678,57.092222222222226,165.18,46.333333333333336,61.0
freiburg1_desk__fps3__chunk10__overlap5__loop,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/hall_da3_large_matrix/runs/freiburg1_desk__fps3__chunk10__overlap5__loop,freiburg1_desk,3,3.0,10,5,10/5,True,24,23.001,34.0,100.0,3628.7083333333335,8932.0,12282.0,29.54493025023069,72.72431200130272,71.68875,155.82,44.583333333333336,59.0
freiburg1_desk__fps3__chunk20__overlap10__loop,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/hall_da3_large_matrix/runs/freiburg1_desk__fps3__chunk20__overlap10__loop,freiburg1_desk,3,3.0,20,10,20/10,True,23,22.001,34.26086956521739,100.0,3308.5652173913045,9752.0,12282.0,26.9383261471365,79.40074906367042,69.83434782608695,185.82,44.65217391304348,62.0
freiburg1_desk__fps3__chunk30__overlap15__loop,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/hall_da3_large_matrix/runs/freiburg1_desk__fps3__chunk30__overlap15__loop,freiburg1_desk,3,3.0,30,15,30/15,True,22,21.001,33.63636363636363,100.0,3786.318181818182,10686.0,12282.0,30.828189071960445,87.00537371763556,68.96863636363636,182.05,45.18181818181818,61.0
freiburg1_desk__fps5__chunk10__overlap5__loop,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/hall_da3_large_matrix/runs/freiburg1_desk__fps5__chunk10__overlap5__loop,freiburg1_desk,5,5.0,10,5,10/5,True,33,32.001,34.84848484848485,100.0,3856.757575757576,8924.0,12282.0,31.401706365067383,72.65917602996255,79.31515151515151,152.3,46.09090909090909,61.0
freiburg1_desk__fps5__chunk20__overlap10__loop,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/hall_da3_large_matrix/runs/freiburg1_desk__fps5__chunk20__overlap10__loop,freiburg1_desk,5,5.0,20,10,20/10,True,33,32.001,39.121212121212125,100.0,3860.5151515151515,9728.0,12282.0,31.43230053342413,79.2053411496499,80.75939393939393,186.18,46.72727272727273,62.0
freiburg1_desk__fps5__chunk30__overlap15__loop,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/hall_da3_large_matrix/runs/freiburg1_desk__fps5__chunk30__overlap15__loop,freiburg1_desk,5,5.0,30,15,30/15,True,33,32.0,46.24242424242424,100.0,4401.484848484848,10740.0,12282.0,35.83687386813913,87.44504152418173,82.96,184.22,46.96969696969697,61.0
freiburg1_room__fps2__chunk10__overlap5__loop,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/hall_da3_large_matrix/runs/freiburg1_room__fps2__chunk10__overlap5__loop,freiburg1_room,2,2.0,10,5,10/5,True,32,31.001,46.09375,100.0,3513.28125,8924.0,12282.0,28.605123351245727,72.65917602996255,77.233125,151.61,46.0,60.0
