sequence,svo_mono_sim3_rmse_m,svo_mono_imu_sim3_rmse_m,da3_sim3_rmse_m,da3_match_count,da3_path_ratio_est_over_gt,da3_run_name,da3_run_dir
MH_01_easy,0.25,0.1,2.345954264898659,849,0.1512425655380109,20260610T132107Z_fps5_da3_streaming,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/euroc/MH_01_easy/20260610T132107Z_fps5_da3_streaming
MH_02_easy,0.15,0.09,2.856362900474213,700,0.26396403189985485,20260610T132107Z_fps5_da3_streaming,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/euroc/MH_02_easy/20260610T132107Z_fps5_da3_streaming
MH_03_medium,0.68,0.19,2.1896648293430885,614,0.41623858957683396,20260610T132107Z_fps5_da3_streaming,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/euroc/MH_03_medium/20260610T132107Z_fps5_da3_streaming
MH_04_difficult,1.67,0.12,3.813299298044909,461,0.26025763094273796,20260610T132107Z_fps5_da3_streaming,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/euroc/MH_04_difficult/20260610T132107Z_fps5_da3_streaming
MH_05_difficult,0.74,0.22,4.597293851548605,518,0.570191754320175,20260610T132107Z_fps5_da3_streaming,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/euroc/MH_05_difficult/20260610T132107Z_fps5_da3_streaming
V1_01_easy,0.44,0.05,1.2308144943022907,671,0.21681538820315382,20260610T132107Z_fps5_da3_streaming,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/euroc/V1_01_easy/20260610T132107Z_fps5_da3_streaming
V1_02_medium,1.28,0.08,1.45216098864332,390,0.452864794041672,20260610T132107Z_fps5_da3_streaming,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/euroc/V1_02_medium/20260610T132107Z_fps5_da3_streaming
V1_03_difficult,1.63,0.12,1.4145042038284616,489,0.33782489704881175,20260610T132107Z_fps5_da3_streaming,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/euroc/V1_03_difficult/20260610T132107Z_fps5_da3_streaming
V2_01_easy,0.34,0.05,1.3607042535636265,523,0.2434675880613744,20260610T132107Z_fps5_da3_streaming,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/euroc/V2_01_easy/20260610T132107Z_fps5_da3_streaming
V2_02_medium,1.37,0.13,1.5355660457382307,539,0.21293275025146494,20260610T132107Z_fps5_da3_streaming,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/euroc/V2_02_medium/20260610T132107Z_fps5_da3_streaming
V2_03_difficult,1.33,0.22,1.7098341653318119,512,0.21369158114082282,20260610T132107Z_fps5_da3_streaming,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/euroc/V2_03_difficult/20260610T132107Z_fps5_da3_streaming
