sequence,fps,run_dir,match_count,se3_rmse_m,sim3_rmse_m,sim3_scale,path_ratio_est_over_gt
bookstore,2,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/qcar_evry/bookstore/20260612T095032Z_fps2_da3_streaming,655,5.930773295594125,5.3561286327120055,1.4414872132316792,0.4102201255471819
bookstore,3,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/qcar_evry/bookstore/20260612T095032Z_fps3_da3_streaming,942,6.554141681062854,2.0719097922000467,2.813783117616871,0.32906067395291144
bookstore,5,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/qcar_evry/bookstore/20260612T095032Z_fps5_da3_streaming,1456,4.45219779244241,1.6751358871026258,1.7277152688672588,0.520562481573948
office0,2,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/qcar_evry/office0/20260612T095032Z_fps2_da3_streaming,390,5.282591922245769,0.6633208013895225,4.515289414623246,0.2217921980074742
office0,3,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/qcar_evry/office0/20260612T095032Z_fps3_da3_streaming,542,5.155542515908067,1.4360411820477392,3.9447884113464124,0.238480487888695
office0,5,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/qcar_evry/office0/20260612T095032Z_fps5_da3_streaming,826,5.091275903483281,1.0353624150980385,3.8844684286737245,0.2440628298719706
office1,2,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/qcar_evry/office1/20260612T095032Z_fps2_da3_streaming,412,5.343590914421878,0.6581131899665679,3.3566283428661228,0.3264302566011294
office1,3,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/qcar_evry/office1/20260612T095032Z_fps3_da3_streaming,569,4.885432654365052,1.359491594449117,2.681564098640997,0.38335080380537984
office1,5,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/qcar_evry/office1/20260612T095032Z_fps5_da3_streaming,891,5.545546099150875,1.0003823623787418,3.6376619285881713,0.2713684326419092
office2,2,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/qcar_evry/office2/20260612T095032Z_fps2_da3_streaming,369,2.8260175476357876,0.36714318294529535,3.5139799641422407,0.31478295987812277
office2,3,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/qcar_evry/office2/20260612T095032Z_fps3_da3_streaming,510,2.3674254624964726,0.2298219152906338,2.519991602771001,0.39778695472529396
office2,5,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/qcar_evry/office2/20260612T095032Z_fps5_da3_streaming,759,2.1507060822008057,0.26868015999605765,2.183211399389435,0.46164719491738465
warehouse1,2,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/qcar_evry/warehouse1/20260612T095032Z_fps2_da3_streaming,1748,20.567358113215466,18.203475389986412,9.637610138441318,0.037075471239955964
warehouse1,3,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/qcar_evry/warehouse1/20260612T095032Z_fps3_da3_streaming,2440,20.701342138627297,19.21098715796375,8.519987124183489,0.0379576788827507
warehouse1,5,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/qcar_evry/warehouse1/20260612T111827Z_fps5_da3_streaming,2992,20.66913197865191,19.202996340157334,7.766944299607474,0.039098527124285104
warehouse2,2,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/qcar_evry/warehouse2/20260612T112908Z_fps2_da3_streaming,556,5.369201576964523,0.8334987897509172,4.297782713344494,0.21814223476517863
warehouse2,3,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/qcar_evry/warehouse2/20260612T112908Z_fps3_da3_streaming,624,5.194598176311807,0.7843762629163162,4.103105105934016,0.22948673264131303
warehouse2,5,/home/qcar/Documents/Diyari_M_salih_2026/mono3d-benchmark/outputs/reconstructions/depth_anything_3/qcar_evry/warehouse2/20260612T112908Z_fps5_da3_streaming,1113,4.850331677882648,0.7917638608859734,3.2419303820128103,0.28448179554376396
