sequence,mode,tracking_ratio,trajectory_ratio,se3_rmse_m,sim3_rmse_m,sim3_scale,path_ratio_est_over_gt,tracking_frames,frames_total,failure_updates,relocalization_frames,paused_frames,gpu_samples,gpu_mean_util_percent,gpu_peak_util_percent,gpu_mean_mem_used_mb,gpu_peak_mem_used_mb,gpu_mean_power_w,gpu_peak_power_w,gpu_mean_temp_c,gpu_peak_temp_c
MH_01_easy,mono,0.9948397609994568,0.9429657794676806,2.471811147014494,0.12986724020607063,0.6321561623336545,1.5669105721167997,3663,3682,6,5,1,13,11.538461538461538,42.0,628.0769230769231,657.0,4.985384615384616,6.2,42.0,42.0
MH_02_easy,mono,0.9845394736842106,0.9134868421052632,7.828742552011312,0.15401583292608834,0.3660183624621628,2.648643492274592,2993,3040,27,23,4,11,7.090909090909091,32.0,609.0,609.0,4.8118181818181816,6.14,42.0,42.0
MH_03_medium,mono,0.96375,0.9475,8.246229507500024,0.6022408472498015,0.30390653532213086,3.2998494672348975,2313,2400,2,2,0,9,6.888888888888889,24.0,609.0,609.0,4.868888888888889,6.2,42.0,42.0
MH_04_difficult,mono,0.9190785587714116,0.9037212049616066,8.249673605146558,1.6252222760476822,0.47099341862308514,2.1263952266309922,1556,1693,8,7,1,6,7.666666666666667,23.0,609.0,609.0,4.948333333333333,6.25,41.0,41.0
MH_05_difficult,mono,0.9287571502860115,0.8928757150286012,5.922685761339314,0.6722319437426684,4.908011519906877,0.2058944448800753,1786,1923,21,18,3,7,8.142857142857142,28.0,609.0,609.0,4.821428571428571,6.12,41.0,41.0
V1_01_easy,mono,0.9622252747252747,0.9289148351648352,0.7663732124834121,0.39703568270781037,1.5799877420916144,0.5809411208631797,2802,2912,0,0,0,10,5.6,18.0,609.0,609.0,4.755,6.19,41.0,41.0
V1_02_medium,mono,0.9327485380116959,0.8900584795321638,1.2795416577671772,1.2754698299803933,1.086087569748545,0.4769017769697907,1595,1710,6,5,1,6,9.0,16.0,609.0,609.0,4.823333333333333,6.19,41.0,41.0
V1_03_difficult,mono,0.7612843182875756,0.5714285714285714,1.552515732686095,1.550770658826216,1.1123715495477167,0.48379069959433657,1636,2149,184,155,29,7,9.0,23.0,609.0,609.0,4.897142857142858,6.08,41.0,41.0
V2_01_easy,mono,0.9298245614035088,0.8337719298245614,1.4568837310990135,0.09621979675718915,2.671667572586325,0.3943835989678263,2120,2280,13,11,2,8,5.875,9.0,609.0,609.0,4.71375,6.02,41.0,41.0
V2_02_medium,mono,0.9675266903914591,0.9559608540925267,1.3770798924904435,0.17901913439682465,2.7738464448166456,0.3633982518247225,2175,2248,9,8,1,8,4.75,8.0,609.0,609.0,4.72,6.01,41.0,41.0
V2_03_difficult,mono,0.7709526288391463,0.6236335242061426,1.3353059078897502,1.3286382920574633,1.1022472050890244,0.46302714092012154,1481,1921,208,176,32,6,11.166666666666666,26.0,609.0,609.0,4.901666666666666,6.15,41.0,41.0
MH_01_easy,mono-imu,0.9972840847365562,0.9652362846279197,0.14835797265023953,0.1035495952327383,1.0254909803152756,0.9994479277221153,3672,3682,4,4,0,47,5.74468085106383,17.0,617.0,617.0,4.506808510638297,5.99,41.0,41.0
MH_02_easy,mono-imu,0.9950657894736842,0.9404605263157895,0.14159980219461749,0.11072956084873353,0.9810496919821012,1.0212014744488231,3025,3040,2,2,0,38,6.184210526315789,16.0,617.0,617.0,4.427631578947368,6.04,40.39473684210526,41.0
MH_03_medium,mono-imu,0.96375,0.9233333333333333,0.1623999596336046,0.15914088274122837,0.9911986530151945,1.0271014530808553,2313,2400,2,2,0,31,6.258064516129032,30.0,617.0,617.0,4.443548387096774,6.02,40.0,40.0
MH_04_difficult,mono-imu,0.9533372711163615,0.9373892498523332,0.18055355462464978,0.1465915930528286,0.9858360243045078,1.0235464978121616,1614,1693,6,6,0,21,7.333333333333333,17.0,617.0,617.0,4.467142857142857,5.96,40.0,40.0
MH_05_difficult,mono-imu,0.9396775871034841,0.9115964638585543,0.1999619367376775,0.16994664600849108,0.9859698558306866,1.0139868638582288,1807,1923,20,19,1,23,5.521739130434782,20.0,617.0,617.0,4.4073913043478266,6.06,39.130434782608695,40.0
V1_01_easy,mono-imu,0.9622252747252747,0.9189560439560439,0.05995578969480771,0.05995450168933262,0.9997832853929812,1.002269394160746,2802,2912,0,0,0,37,5.945945945945946,8.0,617.0,617.0,4.4270270270270276,6.09,39.0,39.0
V1_02_medium,mono-imu,0.9374269005847953,0.908187134502924,0.0892569099768139,0.08924491208461502,0.9991881987489072,1.0033461440114377,1603,1710,0,0,0,22,5.090909090909091,8.0,617.0,617.0,4.452272727272727,6.07,39.0,39.0
V1_03_difficult,mono-imu,0.9208934388087483,0.8808748255002327,0.11770928490707964,0.11666762527143054,1.0103154684622522,1.0065647687264183,1979,2149,27,26,1,21,7.428571428571429,25.0,617.0,617.0,4.417619047619048,6.03,39.0,39.0
V2_01_easy,mono-imu,0.887280701754386,0.862280701754386,0.08955645315294088,0.07537764950235659,1.0207944048633493,1.0400154226732932,2023,2280,31,27,4,26,6.384615384615385,30.0,617.0,617.0,4.411153846153846,5.92,39.0,39.0
V2_02_medium,mono-imu,0.994661921708185,0.9830960854092526,0.11483300704785279,0.11045577035611802,0.9856439971230825,1.014212786036679,2236,2248,5,5,0,29,5.551724137931035,21.0,617.0,617.0,4.372413793103449,5.87,38.48275862068966,39.0
V2_03_difficult,mono-imu,0.9146277980218636,0.8917230609057782,0.27236135070508,0.26387433938954735,0.9676036459750257,1.0179493568290625,1757,1921,22,21,1,19,6.315789473684211,17.0,617.0,617.0,4.269473684210527,5.85,38.0,38.0
